Brand UID,Brand Name ,email,KAM Name 1,Assign Date 1,KAM Name 2 ,Assigin Date 2,KAM Name 3,Assigin Date 3,KAM Name 4,Assigin Date 4,KAM Name 5,Assigin Date 5,KAM Name 6,Assigin Date 6
46,CHOICE,sheel@choicesnackbar.com,Harsh Gohel,26-09-2024,Mahima Sali,24-04-2025,,,,,,,,
53,HONEST,abhiv.gupta@yahoo.com,Harsh Gohel,19-09-2024,,,,,,,,,,
205,Pishus / Fuelup,monish_1982@yahoo.com,Kripal Patel,24-04-2025,Yogita Maheshwary,04-11-2025,,,,,,,,
206,7th Heaven,7thheavenpetpooja@gmail.com,Krutika Christian,07-01-2025,Saloni Vaghela,17-01-2026,,,,,,,,
388,Karnavati Snacks,karnavati82@gmail.com,Krutika Christian,25-09-2024,Saloni Vaghela,19-01-2026,,,,,,,,
465,PIZZA POINT,mypizza@pizzapointin.com,Harsh Gohel,13-09-2024,,,,,,,,,,
525,Shambys Pizza Cafe,harpreetshamby@gmail.com,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,Apurv,16-12-2025,,,,,,
536,What a sandwich,operations.kwan@gmail.com,Kripal Patel,25-04-2025,Shitanshu Shah,27-09-2025,,,,,,,,
548,cafe appetito,vishant1823@gmail.com,Kripal Patel,22-04-2025,,,,,,,,,,
604,Chulbul Dhaba,manish.pinjani@gmail.com,Harsh Gohel,12-05-2025,,,,,,,,,,
1369,NEO POLITAN PIZZA,mukundpurohit@gmail.com,Kripal Patel,13-09-2025,,,,,,,,,,
1442,Cafe Buddys Espresso,cbewecare@gmail.com,Kripal Patel,22-04-2025,Apurv,16-12-2025,,,,,,,,
2067,GO69 PIZZA,go69pizza@gmail.com,Aman Mutneja,03-09-2024,,,,,,,,,,
2284,JiMis BURGER,admin@jimisburger.in,Anokhi Shah,26-11-2025,Kaushik Khandla,13-12-2025,,,,,,,,
2535,Pind Restaurant,divyadparwani@gmail.com,Kinab Shah,10-11-2025,,,,,,,,,,
2666,Hyderabadi Biryani Darbar,aju.mhatre143@gmail.com,Mahima Sali,30-04-2025,Harsh Gohel,30-08-2025,,,,,,,,
2705,Pomos Pizza,contact@pomospizza.com,Kripal Patel,24-04-2025,,,,,,,,,,
2752,Milky Way,bhushangoyal22@gmail.com,Farhan A. Shaikh,23-09-2024,Jinalben Chavda,21-01-2025,,,,,,,,
2924,Kakal Kai Ruchi,info@kakalkairuchi.com,Kinab Binditbhai Shah,24-09-2024,,,,,,,,,,
2953,Dayro Kathivadi,dayrokathayavadi@gmail.com,Kripal Patel,03-09-2025,,,,,,,,,,
3019,THE D PIZZA,thedpizza@gmail.com,Krutika Christian,03-08-2024,Kripal Patel,22-08-2025,,,,,,,,
3041,Birbal Durbar,birbalbiryani@gmail.com,Acharya Arpit,23-04-2025,,,,,,,,,,
3066,FALHARI,hello@falhari.com,Jhaveri Shalvi Nehalbhai,18-11-2024,,,,,,,,,,
3760,Drizzle's Pizza,Munjparaarjun@gmail.com,Kripal Patel,24-04-2025,,,,,,,,,,
3761,9834 -The Fruit Truck,parth@9834thefruittruck.com,Harsh Gohel,29-08-2024,,,,,,,,,,
