Service,QSR,Cafe,Dine In,Cloud Kitchen,Icecream Parlor,Bakery,Dine in & QSR,Retail Store,Foodcourts,Sweet Shop
Captain_Application_status,,1,1,,,,1,,,
Petpooja_Pay_status,,,,,,,,,,
Petpooja_Connect_status,,,,,,,,,,
Intellisense_status,1,1,1,1,1,1,1,1,1,1
QR_Feedback_status,1,1,1,1,1,1,1,1,,
Self_Order_Kiosk_status,1,1,1,,1,,1,,1,
Online_Order_Reconciliation_status,1,1,1,1,1,1,1,1,1,1
Inventory_Application_status,1,1,1,1,1,1,1,1,1,1
Petpooja_Loyalty_status,1,1,1,1,1,1,1,1,1,1
Online_Ordering_Widget_status,1,1,1,1,1,1,1,1,1,1
My_Website_status,1,1,1,1,1,1,1,1,1,1
Petpooja_Growth_Plan_status,,,,,,,,,,
Dynamic_Reports_status,1,1,1,1,1,1,1,1,1,1
Petpooja_Plus_status,,,,,,,,,,
Power_Integration_status,,,,,,,,,,
Reservation_Manager_App_status,,1,1,,,,1,,1,
Petpooja_Scan_Order_status,1,1,1,1,,,1,,,
Gift_Card_status,1,1,1,1,1,1,1,1,1,1
Feedback_Management_status,1,1,1,1,1,1,1,1,1,1
Data_Lake_status,1,1,1,1,1,1,1,1,1,1
Petpooja_POS_Ultimate_Plan_status,,,,,,,,,,
Petpooja_Ultimate_Plan_status,,,,,,,,,,
Petpooja_POS_Scale_Plan_status,,,,,,,,,,
SMS_Service_status,1,1,1,1,1,1,1,1,1,1
Petpooja_Purchase_status,1,1,1,1,1,1,1,1,1,1
Petpooja_POS_Growth_Plan_status,,,,,,,,,,
Petpooja_Scale_Plan_status,,,,,,,,,,
Weigh_Scale_Service_status,1,1,1,1,1,1,1,1,1,1
POS_Subscription_status,,,,,,,,,,
Petpooja_Payroll_status,1,1,1,1,1,1,1,1,1,1
Whatsapp_CRM_status,1,1,1,1,1,1,1,1,1,1
Petpooja_Go_Rental_status,1,1,1,1,1,1,1,1,1,1
Queue_Management_status,,1,1,,,,1,,1,
Petpooja_Tasks_status,1,1,1,1,1,1,1,1,1,1
Petpooja_PRO_status,,,,,,,,,,
Kitchen_Display_System_status,1,1,1,1,1,,1,,1,1
Waiter_Calling_Device_status,1,1,1,,,,1,,,
Virtual_Wallet_status,1,1,1,1,1,1,1,1,1,1
Token_Management_status,1,1,,1,1,,1,,1,
Link_based_Feedback_Service_status,1,1,1,1,1,1,1,1,1,1
Swiggy_integration,1,1,1,1,1,1,1,1,1,1
Zomato_integration,1,1,1,1,1,1,1,1,1,1
Inventory_Points,1,1,1,1,1,1,1,1,1,1
AI,1,1,1,1,1,1,1,1,1,1
Tally,1,1,1,1,1,1,1,1,1,1
