Date,Product Or service Name, Amount  ,restaurant_id
02-04-2025,Android POS,7500,375011
13-04-2025,Android POS,7500,366272
01-04-2025,Android POS,7500,374680
03-04-2025,Android POS,7500,375069
05-04-2025,Android POS,7500,374203
06-04-2025,Android POS,7500,374813
08-04-2025,Android POS,7500,374812
08-04-2025,Android POS,7500,375339
08-04-2025,Android POS,7000,375951
08-04-2025,Android POS,7000,375949
08-04-2025,Android POS,7000,375952
08-04-2025,Android POS,7000,375948
10-04-2025,Android POS,7500,374108
10-04-2025,Android POS,7500,376317
11-04-2025,Android POS,7500,376051
11-04-2025,Android POS,7500,376403
12-04-2025,Android POS,7500,376856
12-04-2025,Android POS,7500,376857
13-04-2025,Android POS,7500,375462
13-04-2025,Android POS - Renewal income,7500,324565
14-04-2025,Android POS,7500,376714
14-04-2025,Android POS,10000,376694
15-04-2025,Android POS,7500,375804
15-04-2025,Android POS,7500,376854
15-04-2025,Android POS,7500,377018
15-04-2025,Android POS - Renewal income,7500,324552
16-04-2025,Pos subscription,10000,375090
16-04-2025,Android POS,7500,377055
16-04-2025,Android POS,7500,376306
16-04-2025,Android POS,7500,375979
18-04-2025,Android POS,2500,374181
19-04-2025,Android POS,7500,377882
21-04-2025,Pos subscription,9000,376131
21-04-2025,Android POS,7500,377650
23-04-2025,Android POS,7500,377260
23-04-2025,Android POS,7500,371478
24-04-2025,Android POS,7500,373593
24-04-2025,Android POS,7500,378175
25-04-2025,Android POS,7500,377446
26-04-2025,Android POS,7500,377465
28-04-2025,Android POS,7500,377466
28-04-2025,Android POS,7500,376869
30-04-2025,Pos subscription,10000,377644
30-04-2025,Android POS,7500,378914
30-04-2025,Pos subscription,10000,378186
21-04-2025,EBill,10000,377158
23-04-2025,EBill,9000,375226
23-04-2025,EBill,9000,373465
25-04-2025,POS Subscription,29097,367676
08-04-2025,Pos subscription,10000,375407
01-04-2025,Pos subscription,10000,374719
01-04-2025,Pos subscription,10000,374714
01-04-2025,Pos subscription,9000,373362
01-04-2025,Pos subscription,10000,374687
01-04-2025,Pos subscription,10000,374732
01-04-2025,Pos subscription,8500,374823
02-04-2025,Pos subscription,10000,373602
02-04-2025,Pos subscription,10000,373877
02-04-2025,Pos subscription,9000,374866
02-04-2025,Pos subscription,10000,375026
02-04-2025,Pos subscription,10000,375025
02-04-2025,Pos subscription,10000,375046
02-04-2025,Pos subscription,10000,373991
03-04-2025,Pos subscription,10000,373244
03-04-2025,Pos subscription,10000,375063
03-04-2025,Pos subscription,10000,374925
03-04-2025,Pos subscription,10000,375136
03-04-2025,Pos subscription,10000,375135
03-04-2025,Pos subscription,10000,375104
03-04-2025,Pos subscription,10000,373993
03-04-2025,Pos subscription,9000,374452
03-04-2025,Pos subscription,10000,374923
03-04-2025,Pos subscription,10000,369623
03-04-2025,Pos subscription,10000,373331
03-04-2025,Pos subscription,10000,373262
04-04-2025,Pos subscription,10000,375348
04-04-2025,Pos subscription,10000,375343
04-04-2025,Pos subscription,10000,373923
04-04-2025,Pos subscription,10000,370665
04-04-2025,Pos subscription,10000,371383
04-04-2025,Pos subscription,10000,374368
04-04-2025,Pos subscription,9000,375269
04-04-2025,Pos subscription,10000,375267
04-04-2025,Pos subscription,10000,374718
05-04-2025,Pos subscription,10000,371421
05-04-2025,POS Subscription - Renewal,7500,74244
05-04-2025,Pos subscription,10000,373684
05-04-2025,Pos subscription,10000,375097
05-04-2025,Pos subscription,10000,375424
05-04-2025,Pos subscription,10000,373340
05-04-2025,Pos subscription,10000,372918
05-04-2025,Pos subscription,9000,374578
05-04-2025,Pos subscription,10000,373174
05-04-2025,Pos subscription,9000,374610
05-04-2025,Pos subscription,10000,374755
05-04-2025,POS Subscription - Renewal,7000,43462
05-04-2025,Pos subscription,10000,375528
05-04-2025,Pos subscription,10000,373586
05-04-2025,Pos subscription,9000,373446
05-04-2025,Pos subscription,10000,371232
06-04-2025,Pos subscription,10000,375573
06-04-2025,Pos subscription,10000,375595
06-04-2025,Pos subscription,10000,375596
07-04-2025,Pos subscription,10000,375591
07-04-2025,Pos subscription,10000,375631
07-04-2025,Pos subscription,9000,374162
07-04-2025,Pos subscription,9000,374208
07-04-2025,Pos subscription,10000,375368
07-04-2025,Pos subscription,10000,374176
07-04-2025,Pos subscription,10000,375713
07-04-2025,Pos subscription,10000,375697
07-04-2025,Pos subscription,10000,375647
07-04-2025,Pos subscription,10000,374762
07-04-2025,Pos subscription,10000,374759
07-04-2025,Pos subscription,10000,374760
07-04-2025,Pos subscription,10000,374757
07-04-2025,Pos subscription,10000,374758
07-04-2025,Pos subscription,10000,373733
07-04-2025,Pos subscription,10000,374764
07-04-2025,Pos subscription,10000,375626
07-04-2025,Pos subscription,10000,375625
08-04-2025,POS Subscription - Renewal,7500,44088
08-04-2025,Pos subscription,10000,375529
08-04-2025,Pos subscription,10000,375530
08-04-2025,Pos subscription,10000,375566
08-04-2025,Pos subscription,10000,374675
08-04-2025,POS Subscription - Renewal,7500,72959
08-04-2025,Pos subscription,10000,374752
08-04-2025,Pos subscription,10000,374320
08-04-2025,Pos subscription,10000,375443
08-04-2025,Pos subscription,10000,374457
08-04-2025,Pos subscription,10000,375821
08-04-2025,Pos subscription,10000,375826
08-04-2025,Pos subscription,10000,375891
08-04-2025,Pos subscription,10000,375699
08-04-2025,Pos subscription,10000,375950
08-04-2025,Pos subscription,10000,375572
08-04-2025,Pos subscription,10000,374964
08-04-2025,Pos subscription,9000,374116
09-04-2025,Pos subscription,10000,375488
09-04-2025,POS Subscription - Renewal,7500,76317
09-04-2025,POS Subscription - Renewal,7500,117229
09-04-2025,Pos subscription,10000,375055
09-04-2025,Pos subscription,9000,374592
09-04-2025,Pos subscription,9000,372345
09-04-2025,Pos subscription,10000,375284
09-04-2025,Pos subscription,10000,375997
09-04-2025,Pos subscription,10000,374431
09-04-2025,Pos subscription,10000,375816
09-04-2025,Android POS,7500,374345
09-04-2025,Pos subscription,10000,375325
09-04-2025,Pos subscription,10000,365936
09-04-2025,Pos subscription,9000,375029
09-04-2025,Pos subscription,10000,376100
09-04-2025,Pos subscription,10000,376136
09-04-2025,Pos subscription,10000,376133
09-04-2025,Pos subscription,10000,376132
09-04-2025,Pos subscription,10000,376130
09-04-2025,Pos subscription,10000,376129
09-04-2025,Pos subscription,10000,375250
09-04-2025,Pos subscription,10000,375253
09-04-2025,Pos subscription,10000,375962
09-04-2025,Pos subscription,9000,374115
09-04-2025,Pos subscription,10000,375054
10-04-2025,Pos subscription,10000,372469
10-04-2025,Pos subscription,10000,373863
10-04-2025,Pos subscription,10000,372464
10-04-2025,Pos subscription,10000,372465
10-04-2025,Pos subscription,10000,372471
10-04-2025,Pos subscription,10000,372467
10-04-2025,Pos subscription,10000,372470
10-04-2025,Pos subscription,10000,374668
10-04-2025,Pos subscription,10000,374678
10-04-2025,Pos subscription,10000,376137
10-04-2025,Pos subscription,10000,376139
10-04-2025,Pos subscription,10000,375414
10-04-2025,Pos subscription,10000,376062
10-04-2025,Pos subscription,10000,376154
10-04-2025,Pos subscription,9000,373811
10-04-2025,Pos subscription,10000,375784
10-04-2025,POS Subscription - Renewal,10000,321749
10-04-2025,Pos subscription,10000,374981
10-04-2025,Pos subscription,10000,373543
10-04-2025,Pos subscription,10000,375001
11-04-2025,Pos subscription,10000,375295
11-04-2025,Pos subscription,10000,375706
11-04-2025,Pos subscription,10000,375707
11-04-2025,Pos subscription,10000,376369
11-04-2025,Pos subscription,9000,371589
11-04-2025,Pos subscription,10000,375144
11-04-2025,Pos subscription,9000,374656
11-04-2025,Pos subscription,10000,330268
11-04-2025,Pos subscription,10000,376429
11-04-2025,Pos subscription,9000,374620
11-04-2025,Pos subscription,10000,376457
11-04-2025,Pos subscription,10000,375958
11-04-2025,Pos subscription,8500,376621
11-04-2025,Pos subscription,9000,374104
11-04-2025,Pos subscription,9000,374112
11-04-2025,Pos subscription,10000,376682
11-04-2025,Pos subscription,10000,376831
11-04-2025,Pos subscription,10000,376828
11-04-2025,POS Subscription - Renewal,7500,116277
12-04-2025,Pos subscription,10000,372862
12-04-2025,Pos subscription,10000,373560
12-04-2025,Pos subscription,10000,375795
12-04-2025,Pos subscription,10000,375798
12-04-2025,Pos subscription,9000,374518
12-04-2025,Pos subscription,10000,376501
12-04-2025,Pos subscription,10000,375453
12-04-2025,Pos subscription,10000,375554
12-04-2025,Pos subscription,10000,375824
12-04-2025,Pos subscription,10000,375658
12-04-2025,POS Subscription - Renewal,7500,74030
12-04-2025,Pos subscription,10000,376665
13-04-2025,Pos subscription,10000,376482
13-04-2025,Pos subscription,10000,375014
13-04-2025,POS Subscription - Renewal,10000,118484
13-04-2025,Pos subscription,10000,372319
14-04-2025,Pos subscription,10000,375461
14-04-2025,Pos subscription,9000,374296
14-04-2025,Pos subscription,10000,372193
14-04-2025,Pos subscription,10000,376803
14-04-2025,Pos subscription,10000,375470
14-04-2025,Pos subscription,10000,376885
14-04-2025,Pos subscription,10000,376233
15-04-2025,Pos subscription,9025.42,373482
15-04-2025,Pos subscription,10000,374220
15-04-2025,Pos subscription,11372.9,376780
15-04-2025,Pos subscription,9000,375209
15-04-2025,Pos subscription,10000,376733
15-04-2025,Pos subscription,10000,376924
15-04-2025,Pos subscription,10000,376927
15-04-2025,Pos subscription,10000,376061
15-04-2025,Pos subscription,10000,375400
15-04-2025,Pos subscription,10000,377044
15-04-2025,POS Subscription - Renewal,7500,73196
15-04-2025,Pos subscription,10000,376038
15-04-2025,POS Subscription - Renewal,7500,24157
15-04-2025,Pos subscription,10000,375127
15-04-2025,POS Subscription - Renewal,7500,15215
15-04-2025,POS Subscription - Renewal,7500,15212
15-04-2025,Pos subscription,10000,367814
16-04-2025,Pos subscription,9000,377022
16-04-2025,Pos subscription,10000,375787
16-04-2025,Pos subscription,10000,376984
16-04-2025,Pos subscription,10000,375474
16-04-2025,Pos subscription,10000,375628
16-04-2025,Pos subscription,10000,374117
16-04-2025,Pos subscription,10000,376624
16-04-2025,Pos subscription,10000,376522
16-04-2025,Pos subscription,10000,376590
16-04-2025,Pos subscription,10000,376986
16-04-2025,Pos subscription,10000,376027
16-04-2025,Pos subscription,10000,376843
17-04-2025,Pos subscription,10000,377061
17-04-2025,Pos subscription,10000,376147
17-04-2025,Pos subscription,10000,377100
17-04-2025,Pos subscription,10000,376230
17-04-2025,Pos subscription,10000,376211
17-04-2025,Pos subscription,9000,374693
17-04-2025,Pos subscription,9000,374001
17-04-2025,Pos subscription,10000,375018
17-04-2025,Pos subscription,10000,376025
17-04-2025,Pos subscription,10000,377247
17-04-2025,Pos subscription,10000,375988
17-04-2025,Pos subscription,10000,377004
18-04-2025,Pos subscription,10000,376047
18-04-2025,Pos subscription,10000,377254
18-04-2025,Pos subscription,10000,377367
18-04-2025,Pos subscription,10000,375947
18-04-2025,Pos subscription,10000,377392
18-04-2025,Pos subscription,10000,376338
18-04-2025,Pos subscription,10000,376012
18-04-2025,Pos subscription,10000,376855
18-04-2025,Pos subscription,10000,375124
18-04-2025,Pos subscription,10000,373545
18-04-2025,Pos subscription,10000,377802
19-04-2025,Pos subscription,9000,373209
19-04-2025,Pos subscription,10000,376513
19-04-2025,Pos subscription,10000,371348
19-04-2025,Pos subscription,9000,376210
19-04-2025,Pos subscription,10000,377429
19-04-2025,Pos subscription,10000,377749
19-04-2025,Pos subscription,10000,377545
20-04-2025,Pos subscription,9000,376913
20-04-2025,Pos subscription,10000,376084
20-04-2025,Pos subscription,10000,377319
20-04-2025,Pos subscription,10000,377581
20-04-2025,POS Subscription - Renewal,7500,119367
20-04-2025,Pos subscription,10000,376155
20-04-2025,Pos subscription,10000,378122
21-04-2025,Pos subscription,9000,376128
21-04-2025,Pos subscription,10000,351469
21-04-2025,Pos subscription,9000,376517
21-04-2025,Pos subscription,9000,374666
21-04-2025,Pos subscription,9000,374667
21-04-2025,Pos subscription,10000,376345
21-04-2025,Pos subscription,10000,377494
21-04-2025,Pos subscription,10000,377457
21-04-2025,Pos subscription,10000,377580
21-04-2025,Pos subscription,10000,377693
21-04-2025,Pos subscription,9000,376661
21-04-2025,Pos subscription,10000,377823
21-04-2025,Pos subscription,10000,377665
21-04-2025,Pos subscription,10000,377703
21-04-2025,Pos subscription,10000,377948
21-04-2025,Pos subscription,10000,376032
21-04-2025,Pos subscription,10000,377921
21-04-2025,Pos subscription,10000,377287
21-04-2025,Pos subscription,10000,377858
21-04-2025,Pos subscription,10000,378168
22-04-2025,Pos subscription,10000,376871
22-04-2025,Pos subscription,10000,376206
22-04-2025,Pos subscription,10000,377502
22-04-2025,Pos subscription,10000,377704
22-04-2025,Pos subscription,10000,377240
22-04-2025,Pos subscription,10000,377893
22-04-2025,Pos subscription,10000,376888
22-04-2025,Pos subscription,10000,376971
22-04-2025,Pos subscription,10000,377725
22-04-2025,Pos subscription,10000,377706
22-04-2025,Pos subscription,10000,376837
22-04-2025,Pos subscription,10000,377619
22-04-2025,Pos subscription,10000,376747
22-04-2025,POS Subscription - Renewal,7500,120138
22-04-2025,POS Subscription - Renewal,7500,114334
22-04-2025,Pos subscription,10000,372235
22-04-2025,Pos subscription,10000,377840
23-04-2025,Pos subscription,10000,377135
23-04-2025,Pos subscription,10000,378072
23-04-2025,Pos subscription,10000,378100
23-04-2025,Pos subscription,10000,375585
23-04-2025,Pos subscription,10000,377082
23-04-2025,Pos subscription,10000,378074
23-04-2025,Pos subscription,9000,378033
23-04-2025,Pos subscription,10000,376614
23-04-2025,POS Subscription - Renewal,7500,116974
23-04-2025,POS Subscription - Renewal,7500,42827
23-04-2025,Pos subscription,10000,373506
24-04-2025,Pos subscription,10000,378185
24-04-2025,Pos subscription,10000,377680
24-04-2025,Pos subscription,10000,376793
24-04-2025,Pos subscription,10000,377162
24-04-2025,Pos subscription,10000,378181
24-04-2025,Pos subscription,10000,377638
24-04-2025,Pos subscription,9000,378235
24-04-2025,Pos subscription,10000,377559
24-04-2025,Pos subscription,10000,377658
24-04-2025,Pos subscription,9000,378274
24-04-2025,Pos subscription,10000,378071
24-04-2025,Pos subscription,10000,377007
24-04-2025,Pos subscription,10000,378279
24-04-2025,Pos subscription,10000,377909
24-04-2025,Pos subscription,10000,376474
24-04-2025,Pos subscription,10000,377003
24-04-2025,Pos subscription,10000,377086
25-04-2025,Pos subscription,10000,375641
25-04-2025,Pos subscription,10000,377666
25-04-2025,Pos subscription,10000,377000
25-04-2025,Pos subscription,10000,378378
25-04-2025,Pos subscription,10000,377648
25-04-2025,Pos subscription,10000,376961
25-04-2025,Pos subscription,10000,377875
25-04-2025,Pos subscription,10000,376824
25-04-2025,Pos subscription,10000,378334
25-04-2025,Pos subscription,10000,377294
25-04-2025,Pos subscription,10000,378443
25-04-2025,Pos subscription,10000,376912
25-04-2025,Pos subscription,10000,377112
25-04-2025,POS Subscription - Renewal,7500,75071
25-04-2025,Pos subscription,10000,375364
25-04-2025,Pos subscription,10000,378029
25-04-2025,Pos subscription,10000,378012
25-04-2025,Pos subscription,10000,378179
25-04-2025,Pos subscription,10000,376006
25-04-2025,Pos subscription,10000,377448
26-04-2025,Pos subscription,9000,373700
26-04-2025,Pos subscription,10000,377096
26-04-2025,Pos subscription,10000,378538
26-04-2025,Pos subscription,10000,377860
26-04-2025,Pos subscription,10000,378401
26-04-2025,Pos subscription,10000,378541
26-04-2025,Pos subscription,10000,377763
26-04-2025,Pos subscription,10000,378442
26-04-2025,Pos subscription,10000,377495
27-04-2025,Pos subscription,10000,378376
27-04-2025,Android POS,7500,377654
27-04-2025,Pos subscription,9000,377014
27-04-2025,Pos subscription,10000,377631
28-04-2025,Pos subscription,9000,377537
28-04-2025,Pos subscription,10000,377563
28-04-2025,Pos subscription,10000,378435
28-04-2025,Pos subscription,10000,378730
