Service / Product Name,Price
POS_Subscription,10000
POS_Subscription_Renewal,7000
Dynamic_Reports,4500
Captain_Application,4500
Kitchen_Display_System,0
Tally Integration,4500
Online_Ordering_Widget,4500
My_Website,4500
Call centre module,4500
Online_Order_Reconciliation,4500
Waiter_Calling_Device,3400
Token_Management,4500
Virtual_Wallet,4500
Petpooja_Loyalty,4500
Feedback_Management,0
QR_Feedback,4500
Link_based_Feedback_Service,4500
Self_Order_Kiosk,4500
Data_Lake,4500
API Integration-Menu & Orders API,2000
Zoho Accounting integration,4500
Busy Accounting integration,4500
SAP ERP integration,4500
SMS_Service,3600
e-Invoice/e-Way bill-5000 bills,5000
Whatsapp_CRM,1000
Petpooja_Payroll,6000
Petpooja_Payroll_Renewal,2500
Petpooja_Scale_Plan,20000
Petpooja_Growth_Plan,10000
Petpooja_Ultimate_Plan,30000
Petpooja_Tasks,5000
Reservation_Manager_App,4500
Petpooja_Purchase,6000
Petpooja_POS_Growth_Plan,20000
Petpooja_POS_Ultimate_Plan,40000
Petpooja_POS_Scale_Plan,30000
Petpooja_POS_Growth_Plan_Renewal,17000
Petpooja_POS_Scale_Plan_Renewal,27000
Petpooja_POS_Ultimate_Plan_Reneweal,37000
SMS Service Super,7246
Petpooja POS LITE,5000
Petpooja Invoice (Standard) (Retail Pos),3500
Petpooja Invoice (With AI) (Retail Pos),6000
Payroll Advanced,9000
Payroll Advanced-Renewal,6000
Petpooja_Scan_Order,4500
