,QSR,Cafe,Dine In,Cloud Kitchen,Icecream Parlor,Bakery,Dine in & QSR,Retail Store,Foodcourts,Sweet Shop
Captain_Application_status,,10,10,,,,10,,,
Petpooja_Pay_status,,,,,,,,,,
Petpooja_Connect_status,,,,,,,,,,
Intellisense_status,5,5,5,5,5,5,5,5,5,5
QR_Feedback_status,1,1,1,1,1,1,1,1,,
Self_Order_Kiosk_status,10,5,5,,10,,5,,5,
Online_Order_Reconciliation_status,10,10,5,10,5,10,10,5,5,10
Inventory_Application_status,10,10,10,10,10,10,10,10,10,10
Petpooja_Loyalty_status,5,5,5,5,5,5,5,5,5,5
Online_Ordering_Widget_status,10,10,10,10,10,10,10,10,10,10
My_Website_status,10,10,10,10,10,10,10,10,10,10
Petpooja_Growth_Plan_status,,,,,,,,,,
Dynamic_Reports_status,10,10,10,10,10,10,10,10,10,10
Petpooja_Plus_status,,,,,,,,,,
Power_Integration_status,,,,,,,,,,
Reservation_Manager_App_status,,10,10,,,,10,,10,
Petpooja_Scan_Order_status,10,10,10,10,,,10,,,
Gift_Card_status,5,5,5,5,5,5,5,5,5,5
Feedback_Management_status,1,1,1,1,1,1,1,1,1,1
Data_Lake_status,5,5,5,5,5,5,5,5,5,5
Petpooja_POS_Ultimate_Plan_status,,,,,,,,,,
Petpooja_Ultimate_Plan_status,,,,,,,,,,
Petpooja_POS_Scale_Plan_status,,,,,,,,,,
SMS_Service_status,5,5,5,5,5,5,5,5,5,5
Petpooja_Purchase_status,5,5,5,5,5,5,5,5,5,5
Petpooja_POS_Growth_Plan_status,,,,,,,,,,
Petpooja_Scale_Plan_status,,,,,,,,,,
Weigh_Scale_Service_status,5,5,5,5,5,5,5,5,5,10
POS_Subscription_status,,,,,,,,,,
Petpooja_Payroll_status,10,10,10,10,10,10,10,10,10,10
Whatsapp_CRM_status,10,10,10,10,10,10,10,10,10,10
Petpooja_Go_Rental_status,5,5,5,5,5,5,5,5,5,5
Queue_Management_status,,10,10,,,,10,,10,
Petpooja_Tasks_status,5,5,5,5,5,5,5,5,5,5
Petpooja_PRO_status,,,,,,,,,,
Kitchen_Display_System_status,10,10,10,10,10,,10,,10,10
Waiter_Calling_Device_status,5,10,10,,,,10,,,
Virtual_Wallet_status,5,5,5,5,5,5,5,5,5,5
Token_Management_status,10,10,,10,10,,10,,10,
Link_based_Feedback_Service_status,1,1,1,1,1,1,1,1,1,1
Swiggy_integration,10,10,5,10,5,10,10,5,5,10
Zomato_integration,10,10,5,10,5,10,10,5,5,10
Inventory_Points,10,10,10,10,10,10,10,10,10,10
AI,10,10,10,10,10,10,10,10,10,10
Tally,10,10,10,10,10,10,10,10,10,10
